ticket_id,cst_id,prd_key,emp_id,issue_category,status,open_date,resolution_date
TKT-00001,26526,BK-M38S-42,EMP004,Technical,Open,03/12/2012,
TKT-00002,18168,FR-M94S-38,EMP139,Billing,Pending,2012-06-27,
TKT-00003,11188,,EMP008,General,Open,2016-05-10,
TKT-00004,16521,PRD-SH-M897-X,EMP136,billing,Open,07/18/2016,
TKT-00005,16297,FR-M21S-42,EMP081,Returns,Resolved,2014-04-21,2014-05-26
TKT-00006,20469,FW-T905,EMP165,Shipping,Pending,2013-03-19,
TKT-00007,28869,RW-R623,EMP175,Product,Resolved,12/06/2021,2022-03-30
TKT-00008,14416,FW-M762,EMP099,Product,Pending,05/03/2011,
TKT-00009,18300,PRD-BK-T18U-50,EMP224,Billing,Resolved,2024-01-09,2024-02-27
TKT-00010,24481,FR-R38B-52,EMP300,General,open,04/06/2021,
TKT-00011,27461,BK-M18B-40,EMP241,billing,Opened,2023-02-02,
TKT-00012,25742,BK-T18U-44,EMP260,Shipping,Closed,01/20/2025,2025-02-28
TKT-00013,24483,HB-M243,EMP252,Technical,resolved,09/11/2023,2023-10-12
TKT-00014,16757,FR-M21S-44,EMP237,Billing,Closed,2023-03-20,07/14/2023
TKT-00015,22776,FR-T67U-54,EMP074,Billing,Closed,2018-06-14,08/19/2018
TKT-00016,27643,BK-T79U-50,EMP085,Product,o,06/26/2018,
TKT-00017,27381,FR-T67Y-58,EMP115,Returns,Pending,2020-11-02,
TKT-00018,13242,FR-R38B-58,EMP045,Shipping,Closed,2017-11-16,2017-12-24
TKT-00019,25880,,EMP152,Returns,Resolved,10/13/2013,2013-10-28
TKT-00020,28315,FR-M94B-48,EMP199,Account,PENDING,01/21/2012,
TKT-00021,24682,WB-H098,EMP006,Returns,Resolved,2023-07-21,2023-10-15
TKT-00022,15675,FW-R623,EMP237,Billing,Pending,2024-11-24,
TKT-00023,26229,FR_T67Y_54,EMP086,Product,Open,10/05/2012,
