po_number,vendor_id,prd_id,quantity_ordered,unit_cost,order_date
PO-000001,VND-031,496,12,207.86,2017-01-07
PO-000002,VND-107,570,248,168.19,2014-09-26
PO-000003,VND-003,507,181,179.59,06/13/2011
PO-000004,VND-072,436,51,434,2012-06-03
PO-000005,VND-023,505,56,128.11,2016-02-22
PO-000006,VND-073,309,203,82.69,2011-06-14
PO-000007,VND-095,473,4.2,$192.04,2016-02-28
PO-000008,VND-011,281,181,$210.61,2017-01-20
PO-000009,VND-022,303,203,416.58,02/24/2023
PO-000010,VND-102,225,118,135.81,2018-04-05
PO-000011,VND-058,298,105,244.26,07/28/2021
PO-000012,VND-052,222,187,189.51,2022-12-17
PO-000013,VND-080,228,60,241.02,2013-06-06
PO-000014,VND-112,571,25,107.8,12/19/2017
PO-000015,VND-021,513,122,420.63,04/23/2024
PO-000016,VND-035,515,87,N/A,2012-04-27
PO-000017,VND-001,478,194,246.92,2023-09-06
PO-000018,VND-097,533,220,367.87,04/15/2016
PO-000019,VND-052,363,42,65.13,2020-07-19
PO-000020,,518,161,$246.16,2013-07-20
PO-000021,VND-002,485,76,440.71,2023-04-09
PO-000022,VND-051,554,37,344.09,03/25/2018
PO-000023,VND-035,530,240,374.65,04/30/2019
PO-000024,VND-098,531,2.5,38.19,01/13/2014
PO-000025,VND-028,587,118,35.25,2017-12-29
PO-000026,VND-132,553,89,464.3,2014-07-05
PO-000027,VND-043,504,104,292,2020-07-23
PO-000028,VND-069,309,72,284.01,2015-07-18
PO-000029,VND-106,508,198,N/A,2022-09-18
PO-000030,VND-065,436,201,112.14,10/24/2024
PO-000031,VND-024,531,83,485.07,2024-10-16
PO-000032,VND-065,493,195,282.27,2020-11-10
PO-000033,VND-049,489,82,442.23,08/25/2019
PO-000034,VND-116,481,216,223.62,2014-09-22
PO-000035,VND-078,521,46,186.02,2016-08-14
PO-000036,VND-030,567,236,200,2018-10-05
PO-000037,VND-050,544,151,51.58,2011-03-29
PO-000038,VND-002,565,166,241.97,2016-09-09
PO-000039,VND-009,556,221,238.05,2016-09-03
PO-000040,VND-065,601,193,56.42,2021-03-12
PO-000041,VND-022,590,223,N/A,2024-09-30
PO-000042,VND-132,591,1.0,491.78,2013-09-05
PO-000043,VND-046,582,82,,2024-10-08
PO-000044,VND-050,542,3.8,335.52,2024-02-29
PO-000045,VND-070,380,22,27.03,2015-04-30
PO-000046,VND-088,601,241,140.51,2022-05-03
PO-000047,VND-117,588,239,62.55,2018-08-29
PO-000048,VND-082,570,197,10.17,2012-12-08
PO-000049,VND-099,473,175,451.23,2021-04-29
PO-000050,VND-052,590,72,161.19,2013-12-23
PO-000051,VND-028,402,67,135.95,2015-03-23
PO-000052,VND-106,574,213,416.71,2023-12-24
PO-000053,VND-075,555,180,324.77,2024-02-16
PO-000054,VND-096,538,191,$49.92,06/22/2017
PO-000055,VND-036,234,133,97.28,2016-10-16
PO-000056,VND-079,506,231,352.14,2024-02-29
PO-000057,VND-065,495,232,457.01,2011-03-06
PO-000058,VND-104,225,158,290.1,2021-06-21
PO-000059,VND-034,474,154,340.89,2019-12-16
PO-000060,VND-070,353,199,290.86,2016-04-03
PO-000061,VND-042,562,242,475.99,2014-09-05
PO-000062,VND-046,249,80,$75.02,2014-02-17
PO-000063,VND-001,578,227,157.23,2019-11-18
PO-000064,VND-099,472,143,N/A,2015-07-24
PO-000065,VND-014,530,101,456.85,2021-09-15
PO-000066,VND-105,303,82,$71.1,05/24/2021
PO-000067,VND-100,518,137,246.71,2017-05-08
PO-000068,,565,61,173.23,02/26/2024
PO-000069,VND-054,284,36,26.9,2024-09-10
PO-000070,VND-090,404,73,339.26,2013-01-30
PO-000071,VND-057,402,175,57.68,11/08/2016
PO-000072,VND-014,577,206,$84.64,2018-10-07
PO-000073,VND-062,214,246,214.12,2022-05-16
PO-000074,VND-088,357,206,,2020-07-13
PO-000075,VND-118,546,29,$490.46,2021-08-15
PO-000076,VND-012,382,5.1,132.63,2019-08-08
PO-000077,VND-062,521,1.9,247.36,2024-10-13
PO-000078,VND-035,518,76,$16.65,2024-06-10
PO-000079,VND-003,524,163,60.28,2017-07-30
PO-000080,VND-034,400,25,76.6,2022-12-01
PO-000081,VND-062,586,236,$418.28,2017-02-28
PO-000082,VND-007,284,10,488.54,2022-09-28
PO-000083,VND-099,287,164,214.15,2013-04-08
PO-000084,VND-102,287,111,411,2016-10-05
PO-000085,VND-085,541,204,400.48,2016-11-07
PO-000086,VND-059,480,200,253.27,2021-08-10
PO-000087,VND-093,482,105,392.12,2019-12-10
PO-000088,VND-083,572,57,355.96,2017-02-28
PO-000089,VND-098,565,151,299.64,2024-09-17
PO-000090,VND-002,497,89,$80.13,09/01/2021
PO-000091,VND-096,398,66,332.05,2022-03-11
PO-000092,VND-078,498,192,194,2012-10-05
PO-000093,VND-064,231,150,179.06,2018-01-27
PO-000094,VND-040,552,61,271.11,2011-07-11
PO-000095,VND-030,438,147,433.12,10/08/2013
PO-000096,VND-049,602,231,163.1,2019-12-30
PO-000097,VND-094,572,82,268.59,2013-05-15
PO-000098,VND-064,483,116,437.3,2020-01-23
PO-000099,VND-046,605,45,53.67,2011-01-28
PO-000100,VND-056,408,159,306.8,2020-05-18
PO-000101,VND-100,514,84,87.4,2012-10-21
PO-000102,VND-003,600,203,278.27,01/15/2013
PO-000103,VND-099,471,240,103.89,2014-08-15
PO-000104,VND-029,557,63,224.61,2012-06-14
